source,package,is_test,result,start,ccache_s,gap_before_s,wall_s,o_mtime_gap_s,c_bytes
module.numpy.typing.tests.data.pass.bitwise_ops.c,numpy,True,cache_miss,2026-09-23T12:39:03.181156,3.414,0.055,3.469,3.461,186886
module.numpy.typing.tests.data.pass.c,numpy,True,cache_miss,2026-09-23T12:39:06.656151,3.079,0.061,3.140,3.143,41567
module.numpy.typing.tests.data.pass.comparisons.c,numpy,True,cache_miss,2026-09-23T12:39:09.801946,4.765,0.067,4.832,4.831,480171
module.numpy.typing.tests.data.pass.dtype.c,numpy,True,cache_miss,2026-09-23T12:39:14.614117,3.491,0.047,3.538,3.538,109040
module.numpy.typing.tests.data.pass.einsumfunc.c,numpy,True,cache_miss,2026-09-23T12:39:18.168365,3.451,0.063,3.514,3.508,138082
module.numpy.typing.tests.data.pass.flatiter.c,numpy,True,cache_miss,2026-09-23T12:39:21.681041,3.179,0.062,3.240,3.250,65242
module.numpy.typing.tests.data.pass.fromnumeric.c,numpy,True,cache_miss,2026-09-23T12:39:24.928339,7.035,0.069,7.103,7.112,524399
module.numpy.typing.tests.data.pass.index_tricks.c,numpy,True,cache_miss,2026-09-23T12:39:32.028534,3.546,0.066,3.612,3.601,145306
module.numpy.typing.tests.data.pass.lib_user_array.c,numpy,True,cache_miss,2026-09-23T12:39:35.635295,3.084,0.060,3.145,3.145,81744
module.numpy.typing.tests.data.pass.lib_utils.c,numpy,True,cache_miss,2026-09-23T12:39:38.776065,3.059,0.056,3.116,3.105,60851
module.numpy.typing.tests.data.pass.lib_version.c,numpy,True,cache_miss,2026-09-23T12:39:41.888181,2.991,0.053,3.044,3.052,52331
module.numpy.typing.tests.data.pass.literal.c,numpy,True,cache_miss,2026-09-23T12:39:44.940454,3.946,0.062,4.008,4.006,177001
module.numpy.typing.tests.data.pass.ma.c,numpy,True,cache_miss,2026-09-23T12:39:48.954135,4.504,0.067,4.571,4.567,375024
module.numpy.typing.tests.data.pass.mod.c,numpy,True,cache_miss,2026-09-23T12:39:53.510152,3.681,0.052,3.733,3.736,221885
module.numpy.typing.tests.data.pass.modules.c,numpy,True,cache_miss,2026-09-23T12:39:57.253723,3.262,0.063,3.325,3.328,89279
module.numpy.typing.tests.data.pass.multiarray.c,numpy,True,cache_miss,2026-09-23T12:40:00.569902,3.687,0.054,3.741,3.751,170643
module.numpy.typing.tests.data.pass.ndarray_conversion.c,numpy,True,cache_miss,2026-09-23T12:40:04.318313,3.242,0.061,3.304,3.292,115224
module.numpy.typing.tests.data.pass.ndarray_misc.c,numpy,True,cache_miss,2026-09-23T12:40:07.623189,5.386,0.063,5.449,5.451,408757
module.numpy.typing.tests.data.pass.ndarray_shape_manipulation.c,numpy,True,cache_miss,2026-09-23T12:40:13.066494,3.122,0.057,3.178,3.176,87030
module.numpy.typing.tests.data.pass.nditer.c,numpy,True,cache_miss,2026-09-23T12:40:16.240649,2.996,0.053,3.049,3.044,36402
module.numpy.typing.tests.data.pass.numeric.c,numpy,True,cache_miss,2026-09-23T12:40:19.300455,4.167,0.063,4.231,4.241,223077
module.numpy.typing.tests.data.pass.numerictypes.c,numpy,True,cache_miss,2026-09-23T12:40:23.521660,3.207,0.054,3.261,3.259,60361
module.numpy.typing.tests.data.pass.random.c,numpy,True,cache_miss,2026-09-23T12:40:26.837464,33.612,0.109,33.721,33.711,3283451
module.numpy.typing.tests.data.pass.recfunctions.c,numpy,True,cache_miss,2026-09-23T12:41:00.524363,5.366,0.074,5.441,5.451,454309
module.numpy.typing.tests.data.pass.scalars.c,numpy,True,cache_miss,2026-09-23T12:41:05.950647,5.615,0.060,5.675,5.675,441292
module.numpy.typing.tests.data.pass.shape.c,numpy,True,cache_miss,2026-09-23T12:41:11.626004,3.459,0.061,3.520,3.512,101349
module.numpy.typing.tests.data.pass.simple.c,numpy,True,cache_miss,2026-09-23T12:41:15.150450,3.971,0.065,4.036,4.028,252965
module.numpy.typing.tests.data.pass.ufunc_config.c,numpy,True,cache_miss,2026-09-23T12:41:19.171974,3.439,0.051,3.490,3.497,164481
module.numpy.typing.tests.data.pass.ufunclike.c,numpy,True,cache_miss,2026-09-23T12:41:22.665213,3.581,0.054,3.635,3.640,145845
module.numpy.typing.tests.data.pass.ufuncs.c,numpy,True,cache_miss,2026-09-23T12:41:26.299054,3.325,0.053,3.378,3.383,53953
module.numpy.typing.tests.data.pass.warnings_and_errors.c,numpy,True,cache_miss,2026-09-23T12:41:29.685813,3.157,0.062,3.219,3.212,41000
module.numpy.typing.tests.test_isfile.c,numpy,True,cache_miss,2026-09-23T12:41:32.907386,3.535,0.064,3.599,3.597,107493
module.numpy.typing.tests.test_runtime.c,numpy,True,cache_miss,2026-09-23T12:41:36.501672,5.046,0.059,5.105,5.110,334504
module.numpy.typing.tests.test_typing.c,numpy,True,cache_miss,2026-09-23T12:41:41.611412,6.361,0.064,6.425,6.424,453860
module.numpy.version.c,numpy,False,cache_miss,2026-09-23T12:41:48.032755,3.124,0.060,3.184,3.188,33560
module.onnxruntime.backend.backend.c,onnxruntime,False,cache_miss,2026-09-23T12:41:51.211807,4.654,0.055,4.709,4.700,312419
module.onnxruntime.backend.backend_rep.c,onnxruntime,False,cache_miss,2026-09-23T12:41:55.928938,3.940,0.063,4.004,4.005,145270
module.onnxruntime.backend.c,onnxruntime,False,cache_miss,2026-09-23T12:41:59.930947,3.207,0.062,3.269,3.274,45244
module.onnxruntime.c,onnxruntime,False,cache_miss,2026-09-23T12:42:03.202395,6.723,0.065,6.788,6.798,624775
module.onnxruntime.capi._ld_preload.c,onnxruntime,False,cache_miss,2026-09-23T12:42:09.994667,3.166,0.069,3.235,3.219,24214
module.onnxruntime.capi._pybind_state.c,onnxruntime,False,cache_miss,2026-09-23T12:42:13.212176,3.258,0.052,3.309,3.306,65154
module.onnxruntime.capi.build_and_package_info.c,onnxruntime,False,cache_miss,2026-09-23T12:42:16.529643,3.111,0.060,3.171,3.178,27564
module.onnxruntime.capi.c,onnxruntime,False,cache_miss,2026-09-23T12:42:19.694498,3.224,0.054,3.278,3.274,36879
module.onnxruntime.capi.convert_npz_to_onnx_adapter.c,onnxruntime,False,cache_miss,2026-09-23T12:42:22.980644,3.878,0.062,3.940,3.937,131704
